	Unnamed: 0	multimodal_emotion	text_script
19200	71369	7	천천히 줘도 돼.  근데, 너는 왜 전학 왔어?
19201	61358	5	왜 갑자기?
19202	71589	4	걔는 동아리 같은 거 안 한대. 혼자 노는게 좋대.
19203	37960	0	너 같으면 분통 안 터지겠냐?
19204	74206	2	군대가기 전에 카페에서 1년정도 일한 경험 있습니다!
19205	14824	3	됐어, 신경 꺼. 오빠한테 기대한 내가 잘못이지. 게임도 못하는데 티켓팅이라고 잘 하겠냐?
19206	37876	0	뭘 오해하시게 끔이야. 그냥 실언이지. 영업은 말빨인데, 이래서 뭘 팔아먹겠어?
19207	73217	7	" 너 일할 때 진짜 섹시한 거 알아? 	너도 알지? 모를 리 없지. 이렇게 섹시한데."
19208	44415	4	지금은 어떤 쪽으로 마음이 기우는데?
19209	50884	0	하나라도 엄마가 맘에 들게 좀 해봐. 엄마가 잔소리를 하나.               빨래좀 아무데나 던져 놓지 말고 양말 좀 제발 뒤집어 놓지 말고!
19210	37609	3	당연하죠…하… 진짜 제가 얼마 들인줄 아세요..? 이거 어머니한테 청구해야될거 같은데..
19211	15018	3	저한테 괜히 희망 주지 마세요. 저는 선배 어려워요. 그 때도 그렇고 지금도 마찬가지에요.
19212	16900	1	날짜는 언제야?
19213	78792	6	안 심심한데?
19214	36635	1	할아버지는?
19215	11504	1	네, 아이들이 꽤 많이 도와주기로 약속했어요.
19216	75607	3	그래요. 삼촌 맨날 혼자 궁상 떠는거 꼴보기 싫다고.         은경쌤 소개해주면 어떻겠냐고. 엄마가 그래서 제가 물어본 거 아니에요.
19217	8603	6	응 뭐 늘 똑같지 뭐
19218	37418	1	지금 우리 이렇게 대화하고 있는거… 상철 씨도 아세요..?
19219	73099	7	나는….. 헨리나 마르셍.
19220	78169	6	나 저녁 먹기 싫단 말이야.
19221	54241	6	발라.
19222	15764	0	아니, 내가 지난 번에 자꾸 돈이 빈다고 했잖아.
19223	74045	2	"니가 왜 돈 쓸 곳이 없어? 	연애도 해야되고, 어? 친구들이랑 술도 마셔야 되고."
19224	35803	0	뭐..? 너 지금 그게 할 소리야? 지금 친구는 병원에서 팔을 꿰매고 있다는데… 너는 미안 하지도 않아?!
19225	18661	1	응. 이모 잠꼬대도 해.
19226	63949	5	그럼 주변에 있는 어른들한테 여쭤보면 되죠. 잘 할 수 있을거예요.
19227	37972	1	선한 자는 선할 것이요, 악한 자는 악할 것이니.
19228	73348	7	그래. 내가 초코우유도 사줄게.
19229	33562	4	없지. 남들 해주는 거 다 해줬는데. 왜 너는 사랑한다는 말을 안해.
19230	64483	0	내가 은주씨, 면접볼 때부터, 뭔가 불안했다고.        여행 좋아하고, 술 좋아한다고 말했을 때부터,        아, 얘는 나중에 뒤통수 한 번, 크게 치겠구나 했는데....        역시 예감이 맞았다니까?
19231	32726	2	아…
19232	39962	0	 야! 그만하라고!
19233	41134	4	미안하다. 아들아.
19234	17356	4	나는… 하… 그러게 내가 누굴 닮았지? 나는 공부도 싫고 책도 싫어.
19235	33823	4	그래서 요즘은 아예 선금을 받고 해.
19236	23354	1	음… 할머니가 요 앞에 어떤 할머니를 아는데. 그 할머니 손녀딸이 정민지래. 너랑 같은 학교 다니길래 아는 지 궁금해서.
19237	14499	3	진짜 짜증 나겠다.
19238	60269	0	너 배 아픈데 선생님이 일어나라고 했다고?
19239	72236	2	이거요..
19240	24294	1	할머니, 그러지 말고 아빠한테 바꿔 달라고 해.
19241	15452	4	그럼, 숙모랑 이혼한 것도 그것 때문인거야?
19242	65973	0	아침부터 우리가 개를 끓이고 있거든.
19243	59374	2	숨기려고 한게 아니라. 아빠가 이렇게 화 내실거 아니까.        조심스럽게 말씀 드린거죠.
19244	42877	5	뭐라구요??
19245	45908	5	너가 지환이 동생이야?
19246	42493	4	선배가 받은 대출 저도 받을 수 있죠?
19247	74170	7	장어 좋지. 어디? 서변호수 쪽에 있는 거?
19248	44256	1	저희 집 근처에, 마카롱 맛집인데. SNS에서 엄청 유명하거든요. 
19249	9157	6	야. 너 진짜 너무 한다.
19250	60458	3	이를 거지?
19251	2170	7	 무능한 삼촌은 화장실이나 가 봐야겠다.
19252	64144	0	 고주망태구만, 고주망태야.
19253	44709	2	아 그럼 너무 무서울 거 같은데.  꿈에서 그 사람 머리에 깔려서 기절했는데, 아직도 그 느낌이 생생해.  너무 무거워서 죽을 힘을 다해서 미는 데도 꿈쩍도 안하는 거야.  생전 처음 느껴보는 공포였다고.
19254	79105	6	"그죠. 감독님 어떡하실 거에요.	 저는 다~~ 기억할텐데. 	 원래 안 취한 사람은, 완전 클린 모드로,  처음부터 끝까지 다- 기억하는 거 아시죠."
19255	66839	3	"너, 지나간 것도 잘만 찾아서 보더만.	 이거 나중에 보고 ‘백년의 약속들’ 좀 틀어봐. 	 그건 지금 지나면 못 봐."
19256	29929	3	주제를 알아라. 주제를. 으휴!
19257	15949	1	요 주변에 물가라도 있나? 멀끔하던데?
19258	72396	7	"응!  ‘스타 아역배우, 몰라보게 성숙해진 모습으로 돌아오다’	 기사 제목들이 눈 앞에 보이지 않아? 	 ‘귀여운 얼굴 속, 숨어있던 반전 성숙미’	 ‘외모도 실력도 무르익은 어른미 뿜뿜’, ‘박재민, 10년을 거슬러 돌아오다’  딱!!! 어?!"
19259	1630	7	에헤이, 무슨 소리야. 그냥 가만히 기다려.
19260	59822	0	당연하지. 그 돈 빼먹으려면 20년은 더 해야 된다. 20년은.
19261	30908	7	아니 아직 안 했어. 뭐 시켜먹을까?
19262	41738	4	알아 봤는데 다 너무 비싸더라고… 아, 어쩔 수 없지!
19263	47019	5	발레학원? 갑자기 왜?
19264	78362	6	"할머니가 어떻게 속을 썩여요? 		우리 엄마는 맨날 내가 콜라 많이 마신다고, 속이 썩는다고 그러던데."
19265	40309	1	막상 책을 내니까 이게 또 돈이 되더라고요.
19266	76431	6	"그러면 니가 빠릇빠릇하게 숙제를 하지 그랬어. 	왜 안 해와서 지금 이렇게 고생을 해?"
19267	38724	2	너무 비싸다 이거야?
19268	26344	2	네. 근데 엄청 달아서, 할아버지는 마시면 안돼요.
19269	22888	2	요즘은 그것도 업체가 많아져서… 그리고 그 업체들 뒤에는 깡패들도 있고 그렇대.
19270	1174	6	말을 말자.
19271	45614	5	 남자친구? 어떤 사람인데?
19272	58995	4	그냥.
19273	32843	2	아… 같은과 선배가… 같은 일이 있었는데… 행정실에 부탁해서 납부했다고 들었거든요… 저… 좀 어떻게 안 될까요?
19274	53111	5	그래? 뭐 먹어.
19275	39275	5	공짜? 진짜로 공짜에요?
19276	52099	5	이민주가 누구야.
19277	59952	0	"그렇게 뒤 쫓아다니면서 하나하나 챙겨주면,	 오히려 자립심이 더 떨어지는 거야. 냅둬. 지가 지 살 길 찾게."
19278	10319	7	아 이거 누르면 되겠다!
19279	74928	6	아니 그럼 뭘 먹어야 해? 밥때마다 고기 먹는게 낙인데.
19280	8507	6	나 무용과 나왔잖아 당연히 잘 추지
19281	52920	6	 이게 축하를 해줘야 하는 건지,  뜯어 말려야 하는 건지 잘 모르겠다.   어우 갑자기 머리 아파. 두통약 있어?
19282	78877	3	"쌩판 남보다는 그래도 한동안 한 이불 덮고 잔 	나한테 빌리는 게 낫지 않겠어?"
19283	24792	1	에휴. 아빠가 미안해. 그냥 얘기 해봐.
19284	52239	5	네? 과장님이랑 부장님 왜요?
19285	58877	5	부장님이 어떻게 아셨어요?
19286	47514	0	97년생 소띠다 왜.
19287	13058	1	당연히 오빠 통장으로 했지.
19288	51717	5	응? 냄새가 나? 오늘 아침에 샤워도 하고 머리도 감았는데?
19289	12579	1	나 한 50권?
19290	44691	3	너 또 걔한테 연락했어?? 걔가 건 게 아니고 니가 건 거야?
19291	34775	0	아이씨… 죽을래?
19292	44869	1	그건 그것대로 고민이겠다 진짜.
19293	73634	7	나도 아직까지는 너랑 노는 게 제일 재밌어.
19294	67339	4	소영아빠…. 아무래도 바람난 것 같애.
19295	35649	4	그래도, 저렇게 여러 사람을 만나고 다양한 일들을 겪고… 저런 일들이라도 부럽다.
19296	63977	5	아….아 맞다! 돈스테이크!
19297	9853	5	야! 너 저번에 서류 합격해서 면접보러 간다더니 그거 붙은거야?
19298	9225	5	계속 흔들리 잖아요.
19299	61760	0	아니 그럼 헤어지실 거예요?
19300	9772	5	보통 공부 잘하는 애들이 일 머리 없는 경우도 많은데, 걔는 아니더라. 걔네 회사에서 최연소로 임원 진급할 것 같다고 그러던데.
19301	4751	4	네.. 근데 저같이 젊은 사람들도 실비 보험 많이 쓰나요?
19302	48016	3	안 되겠네. 그럼 잠깐 경찰서로 갑시다.
19303	16958	1	근데 그래… 남는 자리는 있고?
19304	48576	3	그죠. 작년 애들보다 전반적으로 분위기가 좀 놀자판인 것 같아요.
19305	9504	6	헐. 거기 등록 했어?
19306	74316	7	영광은 무슨.
19307	34626	0	 하…
19308	38475	0	손빨래로 해야 되는 건, 신경 좀 써 달라고 했잖아.
19309	14708	1	준비물?
19310	34794	4	왜… 잠깐만 혼자 있으면 안될까? 형 화장실이 너무 급한데.
19311	30581	3	아, 박성우? 그런 애들을 보고 찐따라고 하지.
19312	49622	5	비빔밥?
19313	54542	2	왜 그래 보경아. 무슨 일이야. 이렇게 사색이 돼 가지고.
19314	22248	1	비는 좌석에 앉을 수 있고요, 좌석을 예매 할 수도 있긴 한데. 그러려면, 추가금을 내야 해요.
19315	8013	6	만화 좋아한다고 다 오타쿤거 아니야.
19316	7114	5	소정이? 유치원 같이 다니는 네 친구 말하는 거야.
19317	19324	1	마음에 드는 사람이라도 만나서 정말 좋겠네요.... 저는 통... 마음에 드는 사람도 없어서..
19318	9913	5	할머니? 외할머니?
19319	49464	7	아닌데? 나는 아빠랑 결혼할건데.
19320	57546	0	무슨 소리야. 우리 유치원에서 똑같은 튤립반이잖아.        튤립반은 다 7살이고.
19321	76551	6	시크하기는. 밥은. 맛있는 거 많이 먹었어?
19322	18794	7	아~ 할라딩~ 그거 나 어릴 때도 엄청 유행했는데.
19323	40707	0	너 어디 살아! 부모님은 어디 계셔!
19324	56326	3	"여론이 어떻게 되는지 모르니까 그러지.	 말 한번 터져 나오면, 둑 무너진 듯이 쏟아질걸?"
19325	39804	3	어. 다 해준대. 이백만원에.
19326	36634	1	할머니. 할머니가 돌봤지.
19327	61861	0	이게 꼬박꼬박 말대답이네. 너 다 컸다?
19328	27759	7	진짜 돈 생각하면… 여기 빙수는… 진짜 사 먹는 우리가 도둑질하는 거나 다름 없는 거 같아.
19329	65915	0	그래도 어쩔 수 없어. 가서, 여기 아파트는 전단 금지라고 말해.
19330	472	3	떠벌리고 다녔다고?
19331	58768	4	그래서 너는, 어떻게 하고 싶은데? 지금 얘기하는 걸로는         마음이 좀, 한 쪽으로 치우친 것 같은데?
19332	10228	0	참외? 너 진짜 과장이 심하다.
19333	11108	0	너 아빠한테 말버릇이 그게 뭐야?
19334	8190	6	나쁘진 않은 곳이었는데, 저랑은 좀 맞지 않았던 것 같아요. 제가 다닐 땐 경력직보다는 신입을 더 선호하는 분위기였어요.  어디 다니셨어요?
19335	77383	6	왜 엄마한테 말 안했어?
19336	4035	6	그니까. 거기 요도르 같은 우락부락한 사람이 있었어봐 자동으로 분노조절이 됐을텐데
19337	54348	2	 아니 그건 그러지 말고. 엄마한테 말했다고 선생님이 나 더 싫어하면 어떡해. 나는 선생님 좋단 말이야.
19338	60665	3	그래서, 오빠가 좋아하던 민정이 언니는 어떻게 됐는데?
19339	13112	4	그러니까.. 전문적으로 배웠으면 좋았을텐데..
19340	8627	7	말도 안돼 진짜~ 나 진짜 괜찮아 할머니~
19341	39741	4	어머, 됐어요.
19342	28894	1	엄청 오래 됐지..
19343	30647	7	근데 말이야, 나 사실.. 술 마셔봤다?
19344	46216	1	알았어. 뭐 사지? 할머니 뭐 드리면 좋아하실까?
19345	44919	0	제수씨 임신했다고 엄마도 안 도와드리고, 제사도 늦게 오고. 제사 준비도 안 하고.
19346	16671	1	사람들이 욕해. 요새 환갑 잔치 차려 먹으면.
19347	53435	6	"망하는 배에 다같이 침몰하는 것보다 그냥 배를 버리고 탈출하는 게 낫죠.	 있던 기계랑 집이랑 팔아서, 빚은 다 갚았어요.  다행이죠. 그나마 뭐라도 있을 때 망해서."
19348	46847	2	그래야 되나? 아…. 평소에는 약이면 되긴 했는데. 면역 생긴건가?
19349	49359	7	할아버지. 괜찮으세요?
19350	54405	6	 다닐만 해요.
19351	48482	7	네 진짜 맛있어요. 짬뽕도 맛있고, 다른 것도 맛있고.
19352	54891	6	그런 게 아니라. 니가 워낙에 거짓말을 많이 치니까.
19353	37963	2	사장님… 저… 기억 하시나요?
19354	25792	3	아무렴 감자튀김보다 높겠어? 거기에 탄산음료까지 마시는데?
19355	27991	3	그럴 거 까지는 없고… 내일 내가 일 끝나고 와서, 우성이 아저씨네 가게 찾아가 볼게.
19356	10917	7	 자.
19357	37446	3	니가 뭘 참아?! 니가 뭘 참는데?! 니가 나한테! 내 딸한테! 내 아들한테! 사과 해야지!
19358	67689	4	 아니 그건 아니고.
19359	77846	6	"뭐 어때. 좀 쉴 수도 있지.  	근데 여기 학교는 애들 많아?"
19360	41244	2	김기주는 없는데… 김경주 아니야?
19361	21230	1	나도 좋아하지.
19362	12259	1	나 한번 믿어봐. 그 위에 그냥 한 번 걸쳐봐요. 자.
19363	34205	1	이제 문제도 다 해결이 되었으니까. 학원가서 공부 좀 더 하자. 어때?
19364	16060	1	믹스커피 한 잔도, 사 먹으면 천원인데…
19365	59202	2	아니. 저번에 비올 때 보니까, 배가 잔뜩 부르더라고.         임신한 거 같아서 병원 데리고 갔지요.
19366	15014	3	저는 항상 혼나는 기분이었는데요, 선배랑 싸울 때면.
19367	49047	7	아이고 내가 80 평생 살면서 이렇게 더운 적이 처음이야. 내가 자식들이 에어컨을 놔줘도 전기세가 아까워서 한 번을 틀지를 않았거든.
19368	42667	4	자기야 오늘 우리 사먹자.
19369	24721	3	와... 이래서 내가 집에 자주 안 오는 거야. 오면 뭐 좋은 소리를 듣기를 해. 오다가 다치기나 하고.
19370	15712	4	그럼… 시급은 어느 정도로 생각하고 계시나요?
19371	61132	0	지호, 얼른 연습을 해야, 확인받고 집에 가지.
19372	50712	0	아 진짜 까다로운 자식. 어디서 이런 자식이 나왔나?
19373	28154	7	와. 오랜만에 영화 진짜 재밌게 봤다. 엄마는 어땠어?
19374	39	3	어. 너 안 씻었냐? 아니면 방귀 뀐 거야? 아휴, 진짜 독하다.
19375	41585	4	사실… 주고 싶은 게 없어. 기념일 챙기는 것 때문에 너무 스트레스 받아서 차라리 헤어지고 싶어.
19376	37581	0	그니까 왜 덤비세요 덤비길? 제가 말 잘 하는거 처음 아셨어요?
19377	63490	4	그런 일이 있었어? 세진이가 많이 속상했겠다.
19378	34682	4	제발… 내가 이렇게 싹싹 빌게.
19379	35828	3	아 그냥 써~ 어떻게든 켜봐. 아, 그냥 써~
19380	188	6	아 머리 아파. 아 나 지금 진짜 죽을 거 같아. 아… 아…
19381	8815	7	응. 이마에 맺힌 땀방울까지 볼 수 있게.
19382	41939	4	나는 아직도 건승이 못 잊었는데 우리 엄마 아빠는 벌써부터 선을 보래.
19383	49236	7	네에. 아이스 아메리카노 큰거 하나.
19384	53724	6	에이. 막걸리마다 맛이 다 다른데요. 와인도 그렇고.
19385	19598	7	지영씨도 여차하면 얘기해!
19386	1873	7	내일 퇴근길에 마트 들러야 하는데, 그 때 까먹지 말고 사야지.
19387	38583	5	돈으로 해결하신다고요?
19388	31012	3	에휴, 어른들부터 잘 해야되는데. 애들이 뭘 보고 배우겠어…
19389	79132	6	그래? 고생했네.
19390	53635	3	어휴 애들이 그걸 잘 지켜요?
19391	69706	4	저도 선풍기 너무 갖고 싶은데…        엄마가 안 사줘서요. 그래서 훔쳤어요.
19392	76659	6	웃지마. 나는 심각하단 말이야.
19393	64043	4	벌써 시간이 그렇게 됐나?
19394	4905	4	아니, 영재엄마 혼자 집에 있으려면 적적하지 않아요? 나도 그래서.
19395	57081	6	흐익! 또 뽀뽀한다.
19396	76913	6	그럼 내가 싫다고 하면, 엄마랑 헤어질 거에요?
19397	73671	7	"	뭐야. 뭘 이렇게 빤히 봐. 내 얼굴에 뭐 묻었어?"
19398	73503	7	아니야. 나도 맛있게 먹었어.
19399	45535	0	아니, 심부름 값은.
19400	44720	1	 그냥 타지 살이 외롭고 힘들었다고 해.
19401	40391	2	그런데요 목사님… 제가 다른 신들에게 노여움을 사면 어쩌죠?
19402	74477	6	그냥.
19403	33801	4	예.. 교수님 힘드셨던 거.. 누구보다 제가 제일 잘 알아요.
19404	63942	5	슈퍼는 어디에요?
19405	19326	3	에이... 선배가 소개팅 해주면 선배 같은 남자 나오는거 아니에요?
19406	51759	5	응?
19407	26155	1	누나는… 성격이 불 같아서 안돼. 누나는 유도 다녀야 돼. 덕진이가 게임하는 거 보고 있으니까. 바둑도 잘 둘 거 같아.
19408	55958	7	분산투자 하면 돼. 그리고 처음에는 조금만 해보고.
19409	76062	2	선생님… 제발 부탁인데, 엄마한테 저 빠졌다고 말 안하면 안돼요? 앞으로 잘 나올게요.
19410	1928	7	아아, 그러셨구나. 어쩐지 안 보이셔서요, 무슨 일 있으신가 했네요.
19411	63134	5	벌써 뽀뽀를 했어? 누구랑!
19412	55002	7	뭘 또 그냥저냥해. 너 정도면 잘하는거지.
19413	46104	2	아니, 그래도 이건 너무 한 거 같은데. 불안한 거 아니에요? 여기 바퀴벌레도 있나봐요?
19414	35815	0	세훈아..! 너 대체 왜 그래? 아빠가 너를 진짜 잘 못 키웠나 보구나…
19415	67672	2	왜 그러냐?
19416	40386	5	무슨 고민으로 저를 찾아오셨나요?
19417	72116	7	네, 감사합니다.
19418	45852	4	아빠가 요즘 담임 하고 계시잖아. 할 일이 많으시대. 우리끼리 밥 먹어야겠다.
19419	65909	0	학생, 거기서 뭐해?
19420	13170	4	결혼 생활이라는게 참 어렵더라.
19421	12123	0	나? 나 담배 피우냐고? 아니야!
19422	59085	0	뭐야? 그랬어?
19423	4683	4	저 오늘 친구 결혼식 때문에 지방에서 올라왔거든요
19424	37664	4	그래서 일단은 어른들 선에서 해결하도록 노력하는게 좋아요.
19425	5952	4	요샌 시트콤이 주던 재미를 인터넷 방송에서 찾는 연령층이 늘은 탓도 있는 거 같고요.
19426	5988	4	제대로 된 의사면 TV에 맨날 나올 리가 없지. 돌팔이야.
19427	59250	4	그래. 김씨가 매일같이 동네 산책하고 그랬지.
19428	47597	2	그것도 거의 막노동 아니에요?
19429	63938	5	저, 여기 콩나물 있어요?
19430	8268	6	하, 글쎄. 아무것도 없었어. 나 왜 이렇게 살아온 걸까? 한심하네.
19431	68133	4	알았어 알았어.         우리 결혼이 이렇게 끝나가네.
19432	28105	3	점점 빨라져. 점점…
19433	50780	0	여기 테이블에 제 컵 있잖아요. 제 자리인데.
19434	74497	6	일단 학교는 휴학하고. 애 낳은 다음에 복학하려고.
19435	74709	3	"와 냄새 진짜 죽인다. 	대체 이거 뭐가 어떻게 맛있는거지?"
19436	33239	3	쳐먹기나 할 줄 알지. 니가 뭘 채워 넣는 법이 있냐?
19437	76785	2	아…그게…제가요….
19438	46363	2	이번에.. 엄마가 치과에 다녀 왔는데, 여기 이빨 이거 새로 해야된대.
19439	11826	1	응. 누나가 다 해줄테니까. 얼른 병원 가 봐.
19440	44658	1	뭐하려고 해요?
19441	56552	6	에고 뭐 덥다고 벌써 나와.
19442	8579	7	응 좋아! 나는 진짜 시험은 싫은데 시험 끝나고 나서가 너무 좋아 짜릿해
19443	3134	3	그래서?
19444	16726	1	응. 안하던 운동을 갑자기 해서 그랬는지, 몸이 놀랐나 봐.
19445	16007	1	미안.
19446	42379	3	이해 못 하는게 아니라… 니가 이렇게 일방적으로 결정해서 통보하면, 나는 어떡해?
19447	41646	2	사이비들이 너 개인정보 다 털어서 너 스토킹했다는 거잖아. 마, 마냥 재미있지는 않은데?
19448	18508	7	고모, 우리도 강아지 기르면 안돼?
19449	49655	5	여기 목 뒤에!
19450	36951	4	그게.. 되는거야..? 그건 좀 원래 타고나는거야..
19451	44043	5	아…. 그 정도는 해야 장편을 찍는군요.
19452	39844	0	천대는 무슨 천대야.
19453	45458	5	그 사람들은 왜 결혼을 안 한대?
19454	63982	5	하관이요?
19455	42040	3	똑바로 일하시라구요! 똑! 바! 로!
19456	31806	1	그니까. 아니 근데.. 삼촌은 언제 우리도 모르는 사이에 집에 와 있었던 거야?
19457	14717	1	없을 수도 있으니까. 데워서 가자.
19458	45675	2	 아. 잘못했어요 선생님.  다음부터 열심히 해 올게요!
19459	46197	1	그럼 부산엔 얼마나 있다가 온 거야?
19460	42467	2	각도기가 어떤 말씀이신지 잘 모르겠어요..
19461	9452	6	 아 진짜 짜증나.
19462	16481	0	그래요!
19463	23980	1	그치? 직접 만들어 쓰는 거겠지?
19464	41027	2	왜 그러는데?
19465	17147	0	왜 복성이 그 녀석도 폐가 안 좋다는데 계속 피우다가 결국 폐암 걸린 거 아니냐.
19466	5132	3	 어휴, 어떡해 정말. 20층 올라오느라 진땀을 뺐어, 아주~~
19467	17232	0	언니랑 엄마는 다르잖아.
19468	49871	7	공부도 잘 하고 운동도 잘 하고 학원도 잘 가고.
19469	65896	0	전단지? 아파트에 전단지 붙이는 거 금지야. 당장 떼.
19470	78503	6	네? 싫어요.
19471	45323	0	운동을 좀 해 임마. 건강관리 안하냐?
19472	16967	1	그래? 의외네. 난 그래도 밤낮 바뀌는 거랑, 체력이 문제인 줄 알았더니.
19473	22774	1	이번에 우리 형제자매들 여행은 어디로 갈까?
19474	30703	4	할머니도 할머니 엄마 보고 싶을거 아냐..
19475	11388	0	무슨 말도 안되는 소리야… 내가 담배를 왜 피워. 아빠한테 담배 냄새 나는 거 맡는 거만도 짜증나 죽겠는데.
19476	39200	0	지금 자식이라고 했습니까?
19477	38664	2	어우, 글쎄요...
19478	67854	2	왜그래, 학생.
19479	34848	1	내가 무슨 욕심이 많다고 그래?
19480	44732	1	뭔 커뮤니티에서 랩퍼 얘기를 해? 얘 팬 카페?
19481	58746	5	다른 사람들도 좋았는데,        이모부는 딱 첫 마디 나눴는데, 이 사람이랑 결혼하고 싶더라고.
19482	24740	3	이게 대화야? 일방적으로 혼내는거지!
19483	10040	5	그럼? 나도 이 핸드폰 3년째 쓰고 있는데 .
19484	19555	7	설마... 다 날아간거야?
19485	33771	4	지난 해, 수재 문학상에서 시끄러웠던 것 기억하세요?
19486	37434	3	하…
19487	45465	4	네.
19488	53002	6	언니, 그 인간 바람 난 거 아닌가 싶어.
19489	353	6	근데 이거, 커피 맛이 왜 이래요?
19490	50695	0	무슨 하루 이틀도 아니고 공부하는데 맨날 시끄럽게 하니까 그렇지. 저 새끼 고 3때보자 내가 공부 못하게 난리 칠거야 맨날.
19491	14964	5	근데 그 오빠는 갑자기 왜?
19492	8652	6	근데 걔가 학원에서 딴 여자애랑 얘기하고 있는거야!
19493	59209	5	흑미요?
19494	51514	5	오. 채식? 갑자기 왜.
19495	30725	1	너희 아빠가 그러더라. 니가 또 사람을 때려서 병원비 물어 줘야 된다고..
19496	40607	0	너 다신 내 가게에 얼씬도 하지마! 이 근처 왔다 갔다 하지마!
19497	71952	4	…응.
19498	1840	7	그래, 내가 사올게. 맥반석 계란이랑 해서 한 사발 하자.
19499	72122	7	"나무출판사에서 나온 거 좋아요.	 제가 좋아하는 작가가 있는데, 그 사람 글씨체로 나온 거에요."
19500	15592	0	아니, 아니, 됐어. 내가 프린트 하면 되지 뭘. 바로 앞에 프린트가 있는데 뭐.
19501	63850	5	노래방?
19502	38297	0	 아니 진짜 억울하다니까.
19503	44571	1	넌 그래도 싸.
19504	43832	2	어… 이것보다는 조금 더 예쁜 걸로…
19505	14613	1	우리 아빠는 맨날 이래. 맥주 마시고. 크으…
19506	7951	6	오자 마자 했잖아.
19507	37469	0	아니… 사장님.. 여기 백반집인데… 김치찌개 된장찌개 순두부찌개… 다 안된다고 하면 저더러 뭘 먹으라는거예요…
19508	63127	5	할아버지가 아빠보다 크지 않아요?
19509	39125	2	그러시구나…
19510	21834	3	돼지우리라니… 돼지한테 실례야. 나 전에 오빠 방에서… 연필 깎고 나면 생기는 그 나무밥 알지? 그게 자꾸 밞혀서 치우랬거든? 그랬더니 오빠가 웃으면서 뭐라고 했는지 알아?
19511	40287	1	보호자님께 책 좀 가져다 달라고 하세요.
19512	28411	2	피해자는 무슨.. 웃기지 말라 그러세요.
19513	5021	4	나도. 엄마 환갑, 칠순 못 챙겨드린 게 못내 맘에 걸리더라고.
19514	44733	3	연예인 파워랭킹도 랩퍼가 훨씬 더 높은데 혼자 북한 인터넷 보는 중?
19515	35222	3	 어머, 얘. 이마가 아주 불덩이네? 너 창문 열어놓고 잤니?
19516	72310	7	" 내... 내가?	 내가 매니저를 제대로 해낼 수 있을까?	 너한테 폐가 되면 어떡해."
19517	35459	0	아 몰라, 캐묻지 마. 창피해.
19518	10675	7	딸 와봐.
19519	14624	5	밀렸어?
19520	78859	2	"아니야. 아니야. 보험금 나와서 괜찮아.  	그게...엄마가 니가 해준 호박죽이 그렇게 먹고 싶으시다네?"
19521	11559	0	뭐가 자꾸 신기한대. 나는 누나가 남자 친구 있는게 더 신기해!
19522	5555	4	요즘 내가 엄마나 아빠 폰 빌려서 하잖아..
19523	39606	5	하… 하 내가 진짜 어처구니가 없어서.
19524	35087	1	내가 형 게임하는 거 다 봤거든?
19525	60668	0	안 할거야. 나 이제 걔 안 좋아해.
19526	27446	7	삼촌 뭐해?
19527	34921	1	철봉? 몇 개나 하는데?
19528	12072	1	누나 그 알바하는 거 엄마한테 얘기 안했지?
19529	55694	7	네, 감사합니다. 과장님은 휴가 안 쓰세요?
19530	58158	2	무슨 퍼프 하나가, 다른 쿠션, 하나 가격이야? 왤케 비싸?
19531	51944	5	 에구 깜짝이야.
19532	46021	1	 아니 아직.
19533	78118	2	할머니 저기 방에, 벌레!!! 벌레!!!!!
