multimodal_emotion	text_script
7	천천히 줘도 돼.  근데, 너는 왜 전학 왔어?
5	왜 갑자기?
4	걔는 동아리 같은 거 안 한대. 혼자 노는게 좋대.
0	너 같으면 분통 안 터지겠냐?
2	군대가기 전에 카페에서 1년정도 일한 경험 있습니다!
3	됐어, 신경 꺼. 오빠한테 기대한 내가 잘못이지. 게임도 못하는데 티켓팅이라고 잘 하겠냐?
0	뭘 오해하시게 끔이야. 그냥 실언이지. 영업은 말빨인데, 이래서 뭘 팔아먹겠어?
7	" 너 일할 때 진짜 섹시한 거 알아? 	너도 알지? 모를 리 없지. 이렇게 섹시한데."
4	지금은 어떤 쪽으로 마음이 기우는데?
0	하나라도 엄마가 맘에 들게 좀 해봐. 엄마가 잔소리를 하나.               빨래좀 아무데나 던져 놓지 말고 양말 좀 제발 뒤집어 놓지 말고!
3	당연하죠…하… 진짜 제가 얼마 들인줄 아세요..? 이거 어머니한테 청구해야될거 같은데..
3	저한테 괜히 희망 주지 마세요. 저는 선배 어려워요. 그 때도 그렇고 지금도 마찬가지에요.
1	날짜는 언제야?
6	안 심심한데?
1	할아버지는?
1	네, 아이들이 꽤 많이 도와주기로 약속했어요.
3	그래요. 삼촌 맨날 혼자 궁상 떠는거 꼴보기 싫다고.         은경쌤 소개해주면 어떻겠냐고. 엄마가 그래서 제가 물어본 거 아니에요.
6	응 뭐 늘 똑같지 뭐
1	지금 우리 이렇게 대화하고 있는거… 상철 씨도 아세요..?
7	나는….. 헨리나 마르셍.
6	나 저녁 먹기 싫단 말이야.
6	발라.
0	아니, 내가 지난 번에 자꾸 돈이 빈다고 했잖아.
2	"니가 왜 돈 쓸 곳이 없어? 	연애도 해야되고, 어? 친구들이랑 술도 마셔야 되고."
0	뭐..? 너 지금 그게 할 소리야? 지금 친구는 병원에서 팔을 꿰매고 있다는데… 너는 미안 하지도 않아?!
1	응. 이모 잠꼬대도 해.
5	그럼 주변에 있는 어른들한테 여쭤보면 되죠. 잘 할 수 있을거예요.
1	선한 자는 선할 것이요, 악한 자는 악할 것이니.
7	그래. 내가 초코우유도 사줄게.
4	없지. 남들 해주는 거 다 해줬는데. 왜 너는 사랑한다는 말을 안해.
0	내가 은주씨, 면접볼 때부터, 뭔가 불안했다고.        여행 좋아하고, 술 좋아한다고 말했을 때부터,        아, 얘는 나중에 뒤통수 한 번, 크게 치겠구나 했는데....        역시 예감이 맞았다니까?
2	아…
0	 야! 그만하라고!
4	미안하다. 아들아.
4	나는… 하… 그러게 내가 누굴 닮았지? 나는 공부도 싫고 책도 싫어.
4	그래서 요즘은 아예 선금을 받고 해.
1	음… 할머니가 요 앞에 어떤 할머니를 아는데. 그 할머니 손녀딸이 정민지래. 너랑 같은 학교 다니길래 아는 지 궁금해서.
3	진짜 짜증 나겠다.
0	너 배 아픈데 선생님이 일어나라고 했다고?
2	이거요..
1	할머니, 그러지 말고 아빠한테 바꿔 달라고 해.
4	그럼, 숙모랑 이혼한 것도 그것 때문인거야?
0	아침부터 우리가 개를 끓이고 있거든.
2	숨기려고 한게 아니라. 아빠가 이렇게 화 내실거 아니까.        조심스럽게 말씀 드린거죠.
5	뭐라구요??
5	너가 지환이 동생이야?
4	선배가 받은 대출 저도 받을 수 있죠?
7	장어 좋지. 어디? 서변호수 쪽에 있는 거?
1	저희 집 근처에, 마카롱 맛집인데. SNS에서 엄청 유명하거든요. 
6	야. 너 진짜 너무 한다.
3	이를 거지?
7	 무능한 삼촌은 화장실이나 가 봐야겠다.
0	 고주망태구만, 고주망태야.
2	아 그럼 너무 무서울 거 같은데.  꿈에서 그 사람 머리에 깔려서 기절했는데, 아직도 그 느낌이 생생해.  너무 무거워서 죽을 힘을 다해서 미는 데도 꿈쩍도 안하는 거야.  생전 처음 느껴보는 공포였다고.
6	"그죠. 감독님 어떡하실 거에요.	 저는 다~~ 기억할텐데. 	 원래 안 취한 사람은, 완전 클린 모드로,  처음부터 끝까지 다- 기억하는 거 아시죠."
3	"너, 지나간 것도 잘만 찾아서 보더만.	 이거 나중에 보고 ‘백년의 약속들’ 좀 틀어봐. 	 그건 지금 지나면 못 봐."
3	주제를 알아라. 주제를. 으휴!
1	요 주변에 물가라도 있나? 멀끔하던데?
7	"응!  ‘스타 아역배우, 몰라보게 성숙해진 모습으로 돌아오다’	 기사 제목들이 눈 앞에 보이지 않아? 	 ‘귀여운 얼굴 속, 숨어있던 반전 성숙미’	 ‘외모도 실력도 무르익은 어른미 뿜뿜’, ‘박재민, 10년을 거슬러 돌아오다’  딱!!! 어?!"
7	에헤이, 무슨 소리야. 그냥 가만히 기다려.
0	당연하지. 그 돈 빼먹으려면 20년은 더 해야 된다. 20년은.
7	아니 아직 안 했어. 뭐 시켜먹을까?
4	알아 봤는데 다 너무 비싸더라고… 아, 어쩔 수 없지!
5	발레학원? 갑자기 왜?
6	"할머니가 어떻게 속을 썩여요? 		우리 엄마는 맨날 내가 콜라 많이 마신다고, 속이 썩는다고 그러던데."
1	막상 책을 내니까 이게 또 돈이 되더라고요.
6	"그러면 니가 빠릇빠릇하게 숙제를 하지 그랬어. 	왜 안 해와서 지금 이렇게 고생을 해?"
2	너무 비싸다 이거야?
2	네. 근데 엄청 달아서, 할아버지는 마시면 안돼요.
2	요즘은 그것도 업체가 많아져서… 그리고 그 업체들 뒤에는 깡패들도 있고 그렇대.
6	말을 말자.
5	 남자친구? 어떤 사람인데?
4	그냥.
2	아… 같은과 선배가… 같은 일이 있었는데… 행정실에 부탁해서 납부했다고 들었거든요… 저… 좀 어떻게 안 될까요?
5	그래? 뭐 먹어.
5	공짜? 진짜로 공짜에요?
5	이민주가 누구야.
0	"그렇게 뒤 쫓아다니면서 하나하나 챙겨주면,	 오히려 자립심이 더 떨어지는 거야. 냅둬. 지가 지 살 길 찾게."
7	아 이거 누르면 되겠다!
6	아니 그럼 뭘 먹어야 해? 밥때마다 고기 먹는게 낙인데.
6	나 무용과 나왔잖아 당연히 잘 추지
6	 이게 축하를 해줘야 하는 건지,  뜯어 말려야 하는 건지 잘 모르겠다.   어우 갑자기 머리 아파. 두통약 있어?
3	"쌩판 남보다는 그래도 한동안 한 이불 덮고 잔 	나한테 빌리는 게 낫지 않겠어?"
1	에휴. 아빠가 미안해. 그냥 얘기 해봐.
5	네? 과장님이랑 부장님 왜요?
5	부장님이 어떻게 아셨어요?
0	97년생 소띠다 왜.
1	당연히 오빠 통장으로 했지.
5	응? 냄새가 나? 오늘 아침에 샤워도 하고 머리도 감았는데?
1	나 한 50권?
3	너 또 걔한테 연락했어?? 걔가 건 게 아니고 니가 건 거야?
0	아이씨… 죽을래?
1	그건 그것대로 고민이겠다 진짜.
7	나도 아직까지는 너랑 노는 게 제일 재밌어.
4	소영아빠…. 아무래도 바람난 것 같애.
4	그래도, 저렇게 여러 사람을 만나고 다양한 일들을 겪고… 저런 일들이라도 부럽다.
5	아….아 맞다! 돈스테이크!
5	야! 너 저번에 서류 합격해서 면접보러 간다더니 그거 붙은거야?
5	계속 흔들리 잖아요.
0	아니 그럼 헤어지실 거예요?
5	보통 공부 잘하는 애들이 일 머리 없는 경우도 많은데, 걔는 아니더라. 걔네 회사에서 최연소로 임원 진급할 것 같다고 그러던데.
4	네.. 근데 저같이 젊은 사람들도 실비 보험 많이 쓰나요?
3	안 되겠네. 그럼 잠깐 경찰서로 갑시다.
1	근데 그래… 남는 자리는 있고?
3	그죠. 작년 애들보다 전반적으로 분위기가 좀 놀자판인 것 같아요.
6	헐. 거기 등록 했어?
7	영광은 무슨.
0	 하…
0	손빨래로 해야 되는 건, 신경 좀 써 달라고 했잖아.
1	준비물?
4	왜… 잠깐만 혼자 있으면 안될까? 형 화장실이 너무 급한데.
3	아, 박성우? 그런 애들을 보고 찐따라고 하지.
5	비빔밥?
2	왜 그래 보경아. 무슨 일이야. 이렇게 사색이 돼 가지고.
1	비는 좌석에 앉을 수 있고요, 좌석을 예매 할 수도 있긴 한데. 그러려면, 추가금을 내야 해요.
6	만화 좋아한다고 다 오타쿤거 아니야.
5	소정이? 유치원 같이 다니는 네 친구 말하는 거야.
1	마음에 드는 사람이라도 만나서 정말 좋겠네요.... 저는 통... 마음에 드는 사람도 없어서..
5	할머니? 외할머니?
7	아닌데? 나는 아빠랑 결혼할건데.
0	무슨 소리야. 우리 유치원에서 똑같은 튤립반이잖아.        튤립반은 다 7살이고.
6	시크하기는. 밥은. 맛있는 거 많이 먹었어?
7	아~ 할라딩~ 그거 나 어릴 때도 엄청 유행했는데.
0	너 어디 살아! 부모님은 어디 계셔!
3	"여론이 어떻게 되는지 모르니까 그러지.	 말 한번 터져 나오면, 둑 무너진 듯이 쏟아질걸?"
3	어. 다 해준대. 이백만원에.
1	할머니. 할머니가 돌봤지.
0	이게 꼬박꼬박 말대답이네. 너 다 컸다?
7	진짜 돈 생각하면… 여기 빙수는… 진짜 사 먹는 우리가 도둑질하는 거나 다름 없는 거 같아.
0	그래도 어쩔 수 없어. 가서, 여기 아파트는 전단 금지라고 말해.
3	떠벌리고 다녔다고?
4	그래서 너는, 어떻게 하고 싶은데? 지금 얘기하는 걸로는         마음이 좀, 한 쪽으로 치우친 것 같은데?
0	참외? 너 진짜 과장이 심하다.
0	너 아빠한테 말버릇이 그게 뭐야?
6	나쁘진 않은 곳이었는데, 저랑은 좀 맞지 않았던 것 같아요. 제가 다닐 땐 경력직보다는 신입을 더 선호하는 분위기였어요.  어디 다니셨어요?
6	왜 엄마한테 말 안했어?
6	그니까. 거기 요도르 같은 우락부락한 사람이 있었어봐 자동으로 분노조절이 됐을텐데
2	 아니 그건 그러지 말고. 엄마한테 말했다고 선생님이 나 더 싫어하면 어떡해. 나는 선생님 좋단 말이야.
3	그래서, 오빠가 좋아하던 민정이 언니는 어떻게 됐는데?
4	그러니까.. 전문적으로 배웠으면 좋았을텐데..
7	말도 안돼 진짜~ 나 진짜 괜찮아 할머니~
4	어머, 됐어요.
1	엄청 오래 됐지..
7	근데 말이야, 나 사실.. 술 마셔봤다?
1	알았어. 뭐 사지? 할머니 뭐 드리면 좋아하실까?
0	제수씨 임신했다고 엄마도 안 도와드리고, 제사도 늦게 오고. 제사 준비도 안 하고.
1	사람들이 욕해. 요새 환갑 잔치 차려 먹으면.
6	"망하는 배에 다같이 침몰하는 것보다 그냥 배를 버리고 탈출하는 게 낫죠.	 있던 기계랑 집이랑 팔아서, 빚은 다 갚았어요.  다행이죠. 그나마 뭐라도 있을 때 망해서."
2	그래야 되나? 아…. 평소에는 약이면 되긴 했는데. 면역 생긴건가?
7	할아버지. 괜찮으세요?
6	 다닐만 해요.
7	네 진짜 맛있어요. 짬뽕도 맛있고, 다른 것도 맛있고.
6	그런 게 아니라. 니가 워낙에 거짓말을 많이 치니까.
2	사장님… 저… 기억 하시나요?
3	아무렴 감자튀김보다 높겠어? 거기에 탄산음료까지 마시는데?
3	그럴 거 까지는 없고… 내일 내가 일 끝나고 와서, 우성이 아저씨네 가게 찾아가 볼게.
7	 자.
3	니가 뭘 참아?! 니가 뭘 참는데?! 니가 나한테! 내 딸한테! 내 아들한테! 사과 해야지!
4	 아니 그건 아니고.
6	"뭐 어때. 좀 쉴 수도 있지.  	근데 여기 학교는 애들 많아?"
2	김기주는 없는데… 김경주 아니야?
1	나도 좋아하지.
1	나 한번 믿어봐. 그 위에 그냥 한 번 걸쳐봐요. 자.
1	이제 문제도 다 해결이 되었으니까. 학원가서 공부 좀 더 하자. 어때?
1	믹스커피 한 잔도, 사 먹으면 천원인데…
2	아니. 저번에 비올 때 보니까, 배가 잔뜩 부르더라고.         임신한 거 같아서 병원 데리고 갔지요.
3	저는 항상 혼나는 기분이었는데요, 선배랑 싸울 때면.
7	아이고 내가 80 평생 살면서 이렇게 더운 적이 처음이야. 내가 자식들이 에어컨을 놔줘도 전기세가 아까워서 한 번을 틀지를 않았거든.
4	자기야 오늘 우리 사먹자.
3	와... 이래서 내가 집에 자주 안 오는 거야. 오면 뭐 좋은 소리를 듣기를 해. 오다가 다치기나 하고.
4	그럼… 시급은 어느 정도로 생각하고 계시나요?
0	지호, 얼른 연습을 해야, 확인받고 집에 가지.
0	아 진짜 까다로운 자식. 어디서 이런 자식이 나왔나?
7	와. 오랜만에 영화 진짜 재밌게 봤다. 엄마는 어땠어?
3	어. 너 안 씻었냐? 아니면 방귀 뀐 거야? 아휴, 진짜 독하다.
4	사실… 주고 싶은 게 없어. 기념일 챙기는 것 때문에 너무 스트레스 받아서 차라리 헤어지고 싶어.
0	그니까 왜 덤비세요 덤비길? 제가 말 잘 하는거 처음 아셨어요?
4	그런 일이 있었어? 세진이가 많이 속상했겠다.
4	제발… 내가 이렇게 싹싹 빌게.
3	아 그냥 써~ 어떻게든 켜봐. 아, 그냥 써~
6	아 머리 아파. 아 나 지금 진짜 죽을 거 같아. 아… 아…
7	응. 이마에 맺힌 땀방울까지 볼 수 있게.
4	나는 아직도 건승이 못 잊었는데 우리 엄마 아빠는 벌써부터 선을 보래.
7	네에. 아이스 아메리카노 큰거 하나.
6	에이. 막걸리마다 맛이 다 다른데요. 와인도 그렇고.
7	지영씨도 여차하면 얘기해!
7	내일 퇴근길에 마트 들러야 하는데, 그 때 까먹지 말고 사야지.
5	돈으로 해결하신다고요?
3	에휴, 어른들부터 잘 해야되는데. 애들이 뭘 보고 배우겠어…
6	그래? 고생했네.
3	어휴 애들이 그걸 잘 지켜요?
4	저도 선풍기 너무 갖고 싶은데…        엄마가 안 사줘서요. 그래서 훔쳤어요.
6	웃지마. 나는 심각하단 말이야.
4	벌써 시간이 그렇게 됐나?
4	아니, 영재엄마 혼자 집에 있으려면 적적하지 않아요? 나도 그래서.
6	흐익! 또 뽀뽀한다.
6	그럼 내가 싫다고 하면, 엄마랑 헤어질 거에요?
7	"	뭐야. 뭘 이렇게 빤히 봐. 내 얼굴에 뭐 묻었어?"
7	아니야. 나도 맛있게 먹었어.
0	아니, 심부름 값은.
1	 그냥 타지 살이 외롭고 힘들었다고 해.
2	그런데요 목사님… 제가 다른 신들에게 노여움을 사면 어쩌죠?
6	그냥.
4	예.. 교수님 힘드셨던 거.. 누구보다 제가 제일 잘 알아요.
5	슈퍼는 어디에요?
3	에이... 선배가 소개팅 해주면 선배 같은 남자 나오는거 아니에요?
5	응?
1	누나는… 성격이 불 같아서 안돼. 누나는 유도 다녀야 돼. 덕진이가 게임하는 거 보고 있으니까. 바둑도 잘 둘 거 같아.
7	분산투자 하면 돼. 그리고 처음에는 조금만 해보고.
2	선생님… 제발 부탁인데, 엄마한테 저 빠졌다고 말 안하면 안돼요? 앞으로 잘 나올게요.
7	아아, 그러셨구나. 어쩐지 안 보이셔서요, 무슨 일 있으신가 했네요.
5	벌써 뽀뽀를 했어? 누구랑!
7	뭘 또 그냥저냥해. 너 정도면 잘하는거지.
2	아니, 그래도 이건 너무 한 거 같은데. 불안한 거 아니에요? 여기 바퀴벌레도 있나봐요?
0	세훈아..! 너 대체 왜 그래? 아빠가 너를 진짜 잘 못 키웠나 보구나…
2	왜 그러냐?
5	무슨 고민으로 저를 찾아오셨나요?
7	네, 감사합니다.
4	아빠가 요즘 담임 하고 계시잖아. 할 일이 많으시대. 우리끼리 밥 먹어야겠다.
0	학생, 거기서 뭐해?
4	결혼 생활이라는게 참 어렵더라.
0	나? 나 담배 피우냐고? 아니야!
0	뭐야? 그랬어?
4	저 오늘 친구 결혼식 때문에 지방에서 올라왔거든요
4	그래서 일단은 어른들 선에서 해결하도록 노력하는게 좋아요.
4	요샌 시트콤이 주던 재미를 인터넷 방송에서 찾는 연령층이 늘은 탓도 있는 거 같고요.
4	제대로 된 의사면 TV에 맨날 나올 리가 없지. 돌팔이야.
4	그래. 김씨가 매일같이 동네 산책하고 그랬지.
2	그것도 거의 막노동 아니에요?
5	저, 여기 콩나물 있어요?
6	하, 글쎄. 아무것도 없었어. 나 왜 이렇게 살아온 걸까? 한심하네.
4	알았어 알았어.         우리 결혼이 이렇게 끝나가네.
3	점점 빨라져. 점점…
0	여기 테이블에 제 컵 있잖아요. 제 자리인데.
6	일단 학교는 휴학하고. 애 낳은 다음에 복학하려고.
3	"와 냄새 진짜 죽인다. 	대체 이거 뭐가 어떻게 맛있는거지?"
3	쳐먹기나 할 줄 알지. 니가 뭘 채워 넣는 법이 있냐?
2	아…그게…제가요….
2	이번에.. 엄마가 치과에 다녀 왔는데, 여기 이빨 이거 새로 해야된대.
1	응. 누나가 다 해줄테니까. 얼른 병원 가 봐.
1	뭐하려고 해요?
6	에고 뭐 덥다고 벌써 나와.
7	응 좋아! 나는 진짜 시험은 싫은데 시험 끝나고 나서가 너무 좋아 짜릿해
3	그래서?
1	응. 안하던 운동을 갑자기 해서 그랬는지, 몸이 놀랐나 봐.
1	미안.
3	이해 못 하는게 아니라… 니가 이렇게 일방적으로 결정해서 통보하면, 나는 어떡해?
2	사이비들이 너 개인정보 다 털어서 너 스토킹했다는 거잖아. 마, 마냥 재미있지는 않은데?
7	고모, 우리도 강아지 기르면 안돼?
5	여기 목 뒤에!
4	그게.. 되는거야..? 그건 좀 원래 타고나는거야..
5	아…. 그 정도는 해야 장편을 찍는군요.
0	천대는 무슨 천대야.
5	그 사람들은 왜 결혼을 안 한대?
5	하관이요?
3	똑바로 일하시라구요! 똑! 바! 로!
1	그니까. 아니 근데.. 삼촌은 언제 우리도 모르는 사이에 집에 와 있었던 거야?
1	없을 수도 있으니까. 데워서 가자.
2	 아. 잘못했어요 선생님.  다음부터 열심히 해 올게요!
1	그럼 부산엔 얼마나 있다가 온 거야?
2	각도기가 어떤 말씀이신지 잘 모르겠어요..
6	 아 진짜 짜증나.
0	그래요!
1	그치? 직접 만들어 쓰는 거겠지?
2	왜 그러는데?
0	왜 복성이 그 녀석도 폐가 안 좋다는데 계속 피우다가 결국 폐암 걸린 거 아니냐.
3	 어휴, 어떡해 정말. 20층 올라오느라 진땀을 뺐어, 아주~~
0	언니랑 엄마는 다르잖아.
7	공부도 잘 하고 운동도 잘 하고 학원도 잘 가고.
0	전단지? 아파트에 전단지 붙이는 거 금지야. 당장 떼.
6	네? 싫어요.
0	운동을 좀 해 임마. 건강관리 안하냐?
1	그래? 의외네. 난 그래도 밤낮 바뀌는 거랑, 체력이 문제인 줄 알았더니.
1	이번에 우리 형제자매들 여행은 어디로 갈까?
4	할머니도 할머니 엄마 보고 싶을거 아냐..
0	무슨 말도 안되는 소리야… 내가 담배를 왜 피워. 아빠한테 담배 냄새 나는 거 맡는 거만도 짜증나 죽겠는데.
0	지금 자식이라고 했습니까?
2	어우, 글쎄요...
2	왜그래, 학생.
1	내가 무슨 욕심이 많다고 그래?
1	뭔 커뮤니티에서 랩퍼 얘기를 해? 얘 팬 카페?
5	다른 사람들도 좋았는데,        이모부는 딱 첫 마디 나눴는데, 이 사람이랑 결혼하고 싶더라고.
3	이게 대화야? 일방적으로 혼내는거지!
5	그럼? 나도 이 핸드폰 3년째 쓰고 있는데 .
7	설마... 다 날아간거야?
4	지난 해, 수재 문학상에서 시끄러웠던 것 기억하세요?
3	하…
4	네.
6	언니, 그 인간 바람 난 거 아닌가 싶어.
6	근데 이거, 커피 맛이 왜 이래요?
0	무슨 하루 이틀도 아니고 공부하는데 맨날 시끄럽게 하니까 그렇지. 저 새끼 고 3때보자 내가 공부 못하게 난리 칠거야 맨날.
5	근데 그 오빠는 갑자기 왜?
6	근데 걔가 학원에서 딴 여자애랑 얘기하고 있는거야!
5	흑미요?
5	오. 채식? 갑자기 왜.
1	너희 아빠가 그러더라. 니가 또 사람을 때려서 병원비 물어 줘야 된다고..
0	너 다신 내 가게에 얼씬도 하지마! 이 근처 왔다 갔다 하지마!
4	…응.
7	그래, 내가 사올게. 맥반석 계란이랑 해서 한 사발 하자.
7	"나무출판사에서 나온 거 좋아요.	 제가 좋아하는 작가가 있는데, 그 사람 글씨체로 나온 거에요."
0	아니, 아니, 됐어. 내가 프린트 하면 되지 뭘. 바로 앞에 프린트가 있는데 뭐.
5	노래방?
0	 아니 진짜 억울하다니까.
1	넌 그래도 싸.
2	어… 이것보다는 조금 더 예쁜 걸로…
1	우리 아빠는 맨날 이래. 맥주 마시고. 크으…
6	오자 마자 했잖아.
0	아니… 사장님.. 여기 백반집인데… 김치찌개 된장찌개 순두부찌개… 다 안된다고 하면 저더러 뭘 먹으라는거예요…
5	할아버지가 아빠보다 크지 않아요?
2	그러시구나…
3	돼지우리라니… 돼지한테 실례야. 나 전에 오빠 방에서… 연필 깎고 나면 생기는 그 나무밥 알지? 그게 자꾸 밞혀서 치우랬거든? 그랬더니 오빠가 웃으면서 뭐라고 했는지 알아?
1	보호자님께 책 좀 가져다 달라고 하세요.
2	피해자는 무슨.. 웃기지 말라 그러세요.
4	나도. 엄마 환갑, 칠순 못 챙겨드린 게 못내 맘에 걸리더라고.
3	연예인 파워랭킹도 랩퍼가 훨씬 더 높은데 혼자 북한 인터넷 보는 중?
3	 어머, 얘. 이마가 아주 불덩이네? 너 창문 열어놓고 잤니?
7	" 내... 내가?	 내가 매니저를 제대로 해낼 수 있을까?	 너한테 폐가 되면 어떡해."
0	아 몰라, 캐묻지 마. 창피해.
7	딸 와봐.
5	밀렸어?
2	"아니야. 아니야. 보험금 나와서 괜찮아.  	그게...엄마가 니가 해준 호박죽이 그렇게 먹고 싶으시다네?"
0	뭐가 자꾸 신기한대. 나는 누나가 남자 친구 있는게 더 신기해!
4	요즘 내가 엄마나 아빠 폰 빌려서 하잖아..
5	하… 하 내가 진짜 어처구니가 없어서.
1	내가 형 게임하는 거 다 봤거든?
0	안 할거야. 나 이제 걔 안 좋아해.
7	삼촌 뭐해?
1	철봉? 몇 개나 하는데?
1	누나 그 알바하는 거 엄마한테 얘기 안했지?
7	네, 감사합니다. 과장님은 휴가 안 쓰세요?
2	무슨 퍼프 하나가, 다른 쿠션, 하나 가격이야? 왤케 비싸?
5	 에구 깜짝이야.
1	 아니 아직.
2	할머니 저기 방에, 벌레!!! 벌레!!!!!
2	어 근데, 오늘 나도 엄마한테 전화한다고 갖고 오고 혜지도 아까 엄마랑 통화한다고 갖고 와서 너까지 그러면 쌤이 좀 의심할 수도 있어.
5	그랬었나? 나는 니가 사과했던 것 같은데. 니가 갑자기 울면서 뭐라뭐라 했었는데.
0	그런데 어떻게 애가 그 모양 그 꼴이 됩니까? 예? 지금 애가 난리도 아니에요. 정말로, 죽을 수도 있었다고요.
7	이번에 준비하는 영화는 어떤 영화야?
5	 에? 그렇게 어리셨다고요?
7	"대신, 변성기가 지나고 나면,	 더 굵고 멋진 목소리가 될 거야.  갈라지지도 않고, 불안정하지도 않은 탄탄한 그런 목소리!"
6	정말 너무하네 엄마. 아니 할머니 이렇게 정정한데, 무슨 요양원이야.
4	저는 뭐, 급할 때마다. 요즘은 일자리도 잘 안 나와요.
6	에이~ 다음에 크면 엄마보다 훨씬 예쁜 여자 만날텐데?
5	라온이가? 왜 그랬을까요?
2	조선시대에도 그것보단 더 받았겠다. 증말. 그럼 나 이제…얼마 남은 거지?  팔십만 원에서 육백오십 원 까면…
2	"그 사람도 절실했겠지.  근데, 누나는 추천하고 싶지 않아...	 잃는 게 너무 많잖아."
1	그건… 내가 아빠가 얼마나 위대한 남잔지 몰랐을 때의 생각이고. 지금은 그렇게 생각 안해. 나… 깨우쳤어.
3	너 내가 태권도 배우면 그 땐 큰일 나는거야. 알아?
3	그렇게 뭐 죄송 할 거는 또 없어. 니 덕에, 나도 배웠지. 덕철아.
6	으엑.
1	안경? 고양이도 안경 쓰나?
6	아부해도 안돼.
1	엄마가 그러잖아.
4	뭐가 좋아.
6	그렇긴 한데. 수학도 잘 하고 싶단 말이야.
5	참, 승아는 이제 몇 살이지?
2	아 예, 어머님만 믿겠습니다.
2	헐. 그거 진짜 있었던 일이야?
1	아니. 2주에 한 번.
0	이 작은 바늘이 2에 가 있으면 몇시야?
3	그건 말하면 안돼. 꿈 사면 그때 말해 줄게.
2	 …그러게. 이상하네….
6	난 가족같다고 해서 온 건데.. 내가 너무 순진했어.
5	하하하...
5	그래?
4	그니까. 그때까진,  엄마아빠가 지원해주는 거 불편하게 생각하지 말고,  지금 받고 나중에 갚는다, 맘 편하게 먹어.
0	너, 엄마한테 이르기만 해 봐라. 가만 안 둬.
0	그게 또 무슨 소리에요?
2	아빠가 괜히 그러는 거 아니잖아. 저번부터 그런 일 여러 번 있었고….
0	야 냉장고 다 같이 쓰는건데 거기 있으면 그냥 먹을 수도 있지. 우리가 남이냐?
3	야, 초딩은 태권도나 배우러 가.
6	"진짜요? 놀러가도 돼요? 	할아버지 집에 뭐 있어요?"
5	아, 엄마 어디 갔어?
7	엄마 말대로 형이랑 빨리 친해지고 싶어.
2	아 그래.. 어머님이 취소하셨구나..
4	누가 지금 그거 가지고 뭐라고 해?
6	엄마 나도 수학 학원 다닐래.
6	그치만 자꾸 치킨이 눈앞에 아른거린단 말이야.
2	맞아. 특히 에어컨은 설치도 그렇고 냉각수 충전 하는 것도 엄청 비싸잖아.
1	그래… 그건 그래. 나중에 대학교 오면 교수님들이 과제 베낀거 없나 프로그램으로 다 돌려봐.
0	아이… 진짜…. 김영민… 그만해라…
5	헐. 언니 나 팔로우 하고 있었어?
0	"행패?  와아. 내가 지금 다른 세상에 있나?	 니가 사는 세상에선 이런 걸 행패라고 부르니?"
4	나만 없어.
7	우리가 단골이니까, 국산 깨로 짜주니까 그래. 다른 방앗간들은 다 수입산 쓰더라.
7	걱정하지마. 엄마, 아빠 휠체어는 내가 손수 밀어 줄게…
7	아니야. 내가 정리 한다니까?
