multimodal_emotion	text_script
5	어어? 언제 그랬어. 저번에도 별로 안 아팠잖아.
7	형은. 형수한테 잘해.
2	너는 절대. 그런 짓 하면 안 돼? 알지?
2	진우네 부모님이 한번 오라시는데, 명절에 가는 게 부담이 되고 그래서.
4	사회가 복수를 못 해주니까.. 개인적 원한이 점점 쌓이게 되고…
4	"그니까요. 저가요 사귀지 말라고 그랬는데,	 벌써 남자친구 여자친구래요."
2	근데… 서른 전에 지원은 안될까?
7	어. 재밌더라.
2	그래서 아빠가 밤마다 귀신만날까 호랑이만날까 무서워서 방을 못 나갔어.
0	우리가 고생하긴 했지. 건배! 우리를 올라올 후배들을 위해서!
2	지우랑 현진이가 원래 친했잖아. 지우가 현진이네 놀러갔다가 딱 들킨 거지.
1	그럼 부려…
6	잘 됐어. 왜 나가서 고생하려고 해.
4	그렇지만. 적어도 이런 일은 일어나면 안됐는데.
4	아…그렇구나.
0	생사람 잡지 마.
1	진짜야... 소금이 많대.
6	그게 뭐야. 잘 이해가 안 돼요. 저는 슬프기만 할 것 같아요.
0	"그게 다 인생 경험이지.	 우리는 뭐, 그런 일 안했냐?  처음엔 다 그렇게 시작하는 거지."
5	그러면은 이거 경찰서에 가져다가 줘야하나?
0	저번에 자네가 찍은 당 때문에 나라 말아 먹을 뻔한거 몰라?
4	이것저것 돈이 들어가는 곳이 많았잖아.
7	 어. 어? 야 너도 들어올래?
3	덮긴 누가 덮어? 그런 거 없어.
1	아니 지금 오빠가 완전히 액정 다 보이게 내 쪽으로 핸드폰 들이댔잖아. 누구는 보고 싶어서 봤냐?
4	라이터 아빠 책상에 있어.
0	니가 남의 물건 함부로 손대놓고.. 뭘 잘 했다고 그래? 어?
6	어머~ 얘기 들어보니까 작년까지 좀 받은 엄마들 있더만~
6	"근데 그냥 궁금하잖아요. 	국어 잘 봤는지. 저는 국어가 제일 어려워요."
1	그래. 그럼 목요일 오후에 만나서 문제 풀어보자. 이 날이 8일 맞지?
4	저 공부 잘 못하는 거 아시잖아요.
1	엄마 집엔 왜?
7	어머니 자식 놈 덕분에, 제가 잔소리꾼이 된 거에요!
5	알았어. 근데, 걔는 몇 살이야?
6	"숙제가 너무 많아요. 힘들어요. 	 그리고 하기 싫어요."
5	왜. 너꺼는?
7	고맙네.
7	여기라도 오는 게 어디야~ 식혜나 먹자.
3	응. 난 곱슬머리인게 어릴 때 컴플렉스였거든.
7	 그냥 보고 가세요. 돈 안 받을 게요.
6	마트에서 사오면 되잖아요.
1	그래도… 이렇게 밝은데… 귀신이 올까?
5	내가 올 지 어떻게 알았어?
2	아니 목사님이 맨날 형 얘기 한다고. 형 교회 안 나오면 엄마 체면이 깎인다던데.
7	집에 있는거 먹으면 되지. 아니면 나가서 먹든가.
4	"그럼 아저씨도 제 마음 아시죠? 저 정말 콩이를 찾고 싶어요.      	 저한테 정말, 너무 소중한 아이에요."
5	 어? 그럼 나 안 나가도 돼?
3	이것들이…?
0	 당신이 먼저 끼어들어서 내 차를 들이 박았잖아!
4	다른 데 가도 다 똑같아.
2	할머니 뭐 아는 향수 있어?
1	그건 그래. 나도 뉴스 좀 봐야겠다.
0	고학년이 됐으면 더 성숙해져야지.. 친구랑 이런 일로 싸울거야..?
3	내가 왜 불렀는 줄 알지?
4	네 그렇습니다…
2	태풍이 오면 3-4일은 꼼짝없이 집에 있을수도 있는데.. 저정도는 사야지.니가 좀 많이 먹냐.
3	말도 안돼요.
2	아… 그런게 아니라…
0	왜 뭔 데.
0	나도 젊어.
5	캬. 그럼 강 팀장님은 곧 승진도 하시겠어요?
2	김교수도 이번에 영국 가?
7	 사진도 찍고 싶어요...
5	복도에? 복도는 공용공간 아니야? 민원 좀 넣어.
6	사랑싸움 하느라 이성이 마비된 애들만 나오는거 잖아 순정만화는.
7	짠! 놀이공원 티켓이다! 이거 자유이용권 아빠 회사로 나온건데, 아빠가 사람들이랑 가위바위보 해서 이겨서 가져온거야. 잘했지?
1	어. 지금 일단 그러고 있는 중이야.
0	그럼 대체 언제까지 숨기려고 한거냐?
7	창문 열어 놓으니까 이제 제법 쌀쌀하다.
1	네. 언제부터 운전하셨어요?
2	"너무 오래 걸리는데?	 사올 것도 몇 개 없어서 그냥 혼자 보냈는데, 	 무슨 일이지?"
4	엄마가 지금 배가 너무 아파서 병원에 갔어
5	저 종점까지 가는데요, 무슨 일이신데요?
2	사장님… 저 이번달 월급 가불좀 해주시면 안될까요? 원래 안되는 거 아는데.. 제가.. 사정이 좀 있어서요..
4	어. 그런 거 같아. 내가 지희랑 같이 구해주러 갔는데. 우리 둘 다 고양이 만지는거 무서워서 못 구해줬어.
2	그 아빠 목소리처럼 변하는 거.
7	그래. 나가 봐라. 근데 거기 나가려면 뭐 돈이 필요하거나 그런 거 아니야?
7	그래서요. 선생님이 찼어요?
6	유치해서 그걸 어떻게 봐
0	습! 어디 아저씨래!
6	"헐...	 근데 할아버지 왜 안자요? 	 원래 이 시간부터 자잖아요."
7	뭐, 나쁘지 않게 생겼단 얘기야.
4	"아니다. 참 참한 처자였는데, 집안이 가난하다는 	이유로 내가 반대를 했어. 	너희 아빠는 그 처자를 잡았지만, 여자는 결국 떠났지."
2	자기. 왜 그래.
2	잘 설득해야죠.
4	좀 됐어. 올해 초쯤.
7	 뭐야…. 고마워.
2	근데 꼭 그 소리만도 아닌게 이상한 짐승 소리 같은게 막 들리는거야.
4	엄마 진짜 잘못했어. 내가 진짜 입이 열 개라도 할 말이 없어. 용서해줘.
3	 아이스 아메리카노.
4	시급은 똑같이 최저시급이야. 둘 다 집에서 15분 거리이고.
7	그랬었어. 형수가 좀 예쁘셔야지. 형이 맨날 걱정했잖아.
7	네 저쪽으로 쭉 내려가면 콩나물 있어요.
7	여보, 우리 이번 추석 때 해외여행이나 갈까?
5	에프? 에프가 있어? 어쩌다가 에프가 나왔냐?
4	네.. 제가 원래는.. 평소에 잘 외우거든요? 근데 오늘은 이상하게 잘 안 외워져요..
7	그래. 봐.
0	예? 지금 악담하고 계신거에요?
7	 아 오빠아아아아. 한 번만 보여줘.       내가 이따가, 아이스크림 사올게.
0	아니 나는 맛있다니까? 내가 내 돈주고 사오는 건데, 너는 내가 무슨 음식 좋아하는지 한번 생각해 본 적 있어? 중학생이나 돼서 그렇게 엄마 마음을 못 헤아려?
5	말하라고 알려준 거 아니야?
6	늘 보면서 지내지만
4	그래. 사람을 중심으로 돌아 가야 하는 데.
5	 캡이요? 없는데요?
4	"어... 그것도 그건데....	 삼촌, 방금 여자친구한테 차였어..."
0	괜히 병 키우지 말고, 빨리 가.
2	지금! 지금! 잠깐만 나 가방만 가져올게.
1	아니 말꼬리 잡는 게 아니라, 니가 갑자기 우리가 친하다는 얘기를 할 정도면 뭔가 꿍꿍이가 있다는 뜻이잖아.
4	셋. 군대를 만기 전역했는가? 만기 전역 안 한 놈은 사람이 아니야.
4	어떻게 사람이 24시간 집중을 해 말이 돼? 다섯 바늘만 꿰매면 된다잖아.
0	몰라. 엄마는 미나 누나 편만 들고. 미워.
1	너무 기본적인 걸 묻나 싶어서, 망설였는데. 여쭤보길 잘한 거 같아요.
7	그래. 그럼 점심 때 비빔밥 먹을 사람을 모아보자.
4	 아니, 그런 건 아닌데, 나만 돈 못 버니까 억울해.
6	"노트북? 집 컴퓨터 있잖아. 	갑자기 노트북이 왜 필요해?"
6	어 완전 이상할 거 같아.
4	다 풀었는데.. 잃어버렸어요.
5	그 왜 상가 옆에 새로 생긴 카페도 커피가 괜찮던데?
4	아예 작정을 하고 나왔더라고. 나간 내가 모지리지.
3	신고하세요~ 저도 다 알아보고 통보한거니까요.
3	그럼 몸으로 때워야지. 너 여기 꼼짝말고 있어.
6	어! 적어도 그런 척이라도 하던가!
2	아니 뭐 누나 돈 버니까, 난 아직 학생이고
1	응. 나는 집이 엄청 가깝거든.
3	피지컬이 안되면 그냥 바둑이나 장기를 두세요 그럼.
2	제가 뭘 잘못한 게 있나요?
4	 아, 오늘까지만 먹고 안 먹을게.
3	너 지금 엄마 요리 평가하냐?
2	지난번보다 150원.
2	야. 너네 회사는 좀 어떠냐?
6	맛있었지?
6	잘 튼다니까. 그리고 요즘 별로 덥지도 않어.
0	그걸 어떻게 버려? 내가 얼마나 잘 끼고 다니는데.
0	나이를 생각해야지 예전 생각을 왜해. 너 뭐 유산균 같은 것도 안 챙겨먹지? 무조건 유산균 바로 주문해서 먹어라.
3	어깨가 빠져? 어디 한 번 봅시다 그 어깨! 누굴 사기꾼으로 몰아?!
5	곱해?
4	아니야 엄마, 나는 바보야. 신발이 그렇게 비싼 줄도 모르고… 그래도 신발가게 옆에 서점이 있어서…
1	내가 그 뒤로는 정신이 없어서 잘 기억이 안 나.
0	돈 좀 아껴쓰라니까.
0	베트남전쟁 이놈아. 너는 그것도 모르냐?
5	백만원? 햐, 웬만한 컴퓨터 두 대는 사겠네.
3	그러면 좀 낫니?
5	4랑...30..어 뭐야 이거 있어! 있어! 잠깐만 이거 네 개면 몇등이야?
6	아니, 그게 그렇게 순식간에 나갈 줄 몰랐지.
3	노잼이야? 처음에는 괜찮다며.
3	맨날맨날 발라? 손을 씻을 때마다?
3	아니, 너도 이제 내년이면 서른인데 결혼하고 싶은 마음은 안 드냐?
1	그래. 얼른 낫기나 해.
5	만나자마자 임신한거야?
0	아휴… 속이 터진다, 진짜..!
4	내가 뭐든 할게. 어? 시키는대로 다 할게.
5	적금을?
1	한 쪽 붙이는데 한 3분...?
3	어떻게 침도 안 바르고 그렇게 거짓말을 해, 무섭다… 소름 돋아.
6	" 	너 이혼 생각 없지?"
4	애구.. 미안.. 자고 가진 못 할 거 같아
6	응. 그래서 그 때 이후로 승아가 자기는 이제 남자 절대 안 만난다고        그렇게 노래를 부르더니, 결국 또 다른 남자 만나서 잘 사귀고 있어.
3	응 아니야. 엄마 지분은 있어도 니 지분은 없어. 안돼.
3	다른 애들은 남의 집 자식이니까 모르겠고, 너는 맨날 봐야되잖니.
4	네. 너무너무 배고파요. 거기다가 운동도 해야 되니까...
3	나는 너 일주일 다니고 때려친다에 만 원 건다.
1	네 그럼요. 책상 앞에서 오래 앉아 있으면 힘든 거랑 마찬가지에요..
0	너, 이번 학기 성적은 나왔어?
4	그냥 멀리서 지켜만 봤지. 하교 시간 맞춰서 나도 같이 하교하고.
5	그래서 좋아?
7	허허. 우리 집사람이랑. 너무 오래 전이라 기억이 가물가물 하네.
7	 아야. 야 살살 해. 아파.
7	그렇구나. 지호는 밖에 나가서 노는 건 재미 없어?
2	야, 이거 보통 일이 아니다…
4	그럼 병준이 배에 멍든 거에 대해서도 알고 있니?
5	"네. 주민이가 어머님께도 말씀을 안 드리고 출마했구나.	 어머니, 주민이가 인기가 많아요. 	 후보가 여러 명 있었는데 주민이가 거의 몰표를 받았어요."
5	너는?
2	미안해. 형한테 미리 말했어야 됐는데, 이제서야 말하게 됐어.
4	안 말할게. 알려줘~
7	 출혈로 위험할 수 있었는데, 보호자 분이 잘 지혈해주신 상태로 내원해서 다행이었습니다.
7	황금! 우리 황금 어딨어.
6	갠 그런 거 싫어해.
1	그래. 뭐 너 알아서 해라. 나는 그냥 양만 채워 줘도 상관 없긴 해.
1	행님은 언제 헤어지십니까?
5	그래? 근데 다른 할머니들한테서도 할머니 냄새가 나.
0	부끄러움을 아는 것! 수치심을 아는 것! 그거에요!
2	네...
6	아 뭘 거울을 예뻐져서 보나? 그냥 보는거지.
4	갑자기 혈압이 너무 낮아지셔서, 지금 입원하셨어요.        저는 아버지 짐 좀 챙기러 왔어요.
2	그래서, 어떻게 됐는데요?
0	 오른쪽 2층 상대 피 없어. 포커싱 포커싱.
3	철수가 그러더라, 천 만원이면 사람도 죽여준다고.
0	블랙박스가 뭐 필수에요? 내가 블랙박스 안 달아서 죄인입니까?
1	맞는 말이야.
5	어! 왜.
1	나 진짜 오늘 멋있어보여야 되는데 .
5	음… 태권도나 복싱 같은거?
7	니가 전공이 뭐였지?
2	진짜 죄송해요.. 저희도 될 줄 알았는데 이게 일이 이렇게 됐네요. 죄송합니다.
7	에이~ 착해서 좋아하는거야 예뻐서 좋아하는거야?
7	네. 100일이라니까요.
4	이모, 나도 돈 벌고 싶어.
7	음… 그럼 나 노트북 새로 사주면 안 돼?
7	나도 먹어봐도 돼?
4	이 동네에서 도배는 오래 하셨어요?
6	뭐?
2	아빠 왜 귀신 얘기하고 그래.. 무섭잖아..
4	왜 엄마랑 아빠는 즐거운 일이 없고 맨날 싸워?
6	그런게 중요한 게 아니야.
3	멍청한 짓 좀 하지마.
2	그럼 어떡해요.  진짜 아무 때나 부르면 어떡해.
6	어휴. 아무튼 그 극성맞은 엄마들이 문제야. 애들이 나가서 뛰어놀고 해야지.             맨날 학원에 과외에 시험에.
3	내가 집에 맨날 같이 있는데 못 봤거든?
5	너 양평 산다고 하지 않았어?
3	그래도 가야 하지 않을까요?
2	오래되긴 했어. 한 20년?
7	네. 1주년...
4	앞으로 힘든일이 더 많을거에요... 어머님이 강해지셔야 아이도 강해질 수 있어요.. 마음 단단히 먹으셔야 해요…
0	그래도 일하는데 와서 이러는 건 내가 너무 불편해
1	축하해. 복학은 언제 해?
4	너무 비싸서요… 제가 지금 삼천 원 밖에 없거든요…
5	누구지?
0	아빠는 어딨는지도 몰라요. 아 어쨌든 나는 몰라요. 모른다고요.
7	 조용히 해 임마 아버지 거실에 계셔.
5	카메라는 갑자기 왜 사려고? 집에 있잖아. 카메라.
5	"어. 팬클럽 가입하면 무슨 사인회도 갈 수 있고, 	 응원 봉도, 준대."
1	그래? 그럼 내가 이모 회사 주변 맛집 리스트 만들어 줄게. 그 리스트대로만 먹어. 알았지?
0	"아이 참. 알았다니까. 아빠 빨리 나가요.	 나 진짜 늦게 생겼어."
2	제가 짰는데요. 그 저번 주에 원장쌤 보여드리고 결제 받았는데?
3	물냉면… 진짜 맛 없어.
7	니가 속상하면 싫잖아. 그래서 그래. 면 다시 삶을게.
0	그럴거면 밖에서 데이트 왜 하는건데?
2	회사는 잠깐 쉴려고.
3	 서비스업 5년이면 이렇게 된다.
0	다음부터는 데려오지 마. 알았지?
2	평생 일만 해도 못 모을 수도 있어.
6	지금부터 시-작!
0	 왜 자꾸 거짓말하세요. 다 아는데!
4	아… 20프로가 더 올랐네요.
1	근데 너는? 너는 운동 못 하잖아.
4	일단 기다려 보자.
3	엄마한테는 숙제 했다고 했지 너?
6	어. 자꾸 무네.
7	아아, 알았어! 선생님이 있다 가져다줄게.
7	그래요. 전화 빨리 해야 돼. 아까 오전에 본 학생도 엄청 마음에 들어했어.
0	 아 어제 모기 있어가지고 4시까지 못 잤다고.
0	인사 좀 안 할 수도 있지.
2	근데 그렇게 쌌어? 안심 800 그램이 어떻게 만 오천 원 밖에 안했지?
7	"에이. 나 그렇게 좋은 사람 아닌데. 나 너한테만 잘해주는거야. 	내가 너 좋아하니까."
7	너 요즘 이튜버들 알지?
3	한 달 간은 자차 사용 가능하지 않아요?
7	이게 상황버섯 추출물이 들어간 영양제인데요. 상황버섯 추출물 뿐만이 아니고 하루에 먹어야 하는 필수 비타민이 다 포함된, 아주 편리한 제품이에요.
1	CCTV 달기를 진짜 잘했지 뭐... 일하는 공간 쪽으로도 다는 게 비용 문제도 그렇고 좀 찝찝했는데...
3	성호는 만나는 애 없대?
1	그냥, 그냥 그렇게 해주세요.
0	나 때는 사전을 달달달달 외웠어요.
0	알겠어.
7	안돼.
4	근데 전에 상담칼럼 보니까 나랑 똑같이 고민하는 부모가 직접 게임을 하면서 아이와 대화시간을 늘려가다보니까 게임중독이 고쳐졌다는거야.
7	우와, 무슨 꿈인데?
7	오늘 메뉴 뭔 줄 아세요?
1	작년에 어깨 수술을 했어? 아니, 왜?
0	전화도 안 받네. 이거 큰 일 났다. 야.
3	응 안빌려줘.
1	너 방 동생 공부방으로 좀 쓰게.
2	"아...예진씨 오면 같이 말하려고 했는데.	 응. 아저씨 오늘 나윤이한테 허락받으러 온 거야."
3	"하여간, 못된 거는 아주 순식간에 캐치하는구만. 	 너 그런 거 따라하지마!"
3	쥐? 아파트에 왠 쥐야.
6	"레벨이 안 맞아? 	다른 반으로 옮겨볼까?"
0	야 더럽게 무식하면 아가리나 여물고 있어.
2	맞습니다. 저도 운동 좀 해야 될텐데.
4	어? 이게 누구야? 이팀장이 좋아하는 우리 이모 아니야?
6	너 오늘 학교에서 누구랑 싸웠어?
4	난 가난뱅이는 되기 싫단 말이야.
1	왜?
2	죄송합니다. 교수님.
4	저도 이 일, 오래 못할 거 같아요. 매번.. 새우잠 자고, 밥도 제대로 못 챙겨먹고..
7	음… 나는 스위스가 엄청 좋았어.       내가 갔을 때, 눈이 엄청 내렸거든. 그래서 버스에 갇혀서      한참동안 앞으로 못 갔었어. 근데 그 시간이 너무 좋더라.
6	너 혹시 새 신발 갖고 싶어서 거짓말 치는 거 아니야?
0	"아니, 건조대에 올려 놨으면, 먼지 안 쌓이게 덮개를 덮어놔야지,	 그냥 공기 중에 헤벌레, 펼쳐 놓으면 되겠어 그게?"
7	오~ 이젠 이모한테 소리지르기 까지 할 수 있네. 너는 동시에 정말 많은 일을 할 수 있구나.. 넌 꼭 요리사가 되어야겠다!
6	그냥. 뭔가 따뜻하고 맛있는거.
5	아니.
0	너가 사람새끼냐?
6	위급상황에서 쓰라고 줬던 신용카드요?
3	꼴랑 그 전세자금 조금 보태 준 걸로, 지금 나 겁박하는 거야?
6	운명이 아닌 거지 우린.
6	저라고 하고 싶어서 시작했겠어요?중학생이라고 다 안 써준다잖아요.편의점에서도 퇴짜맞고.
4	지금도 친구 없는데 가면 친구 새로 사귄다고? 내가? 나는 중학생 되면 친구 더 없을 것 같은데.
7	삼촌 나 삼촌 안경 써 봐도 돼?
2	네?
1	내면의 변화가 스토리다?
3	야, 너가 그렇게 산다고 누가 알아준대?        그 돈 아껴서 승아 맛있는 거나 사줘.
7	응 그거 진짜 재밌어. 이번에 시즌 파이브 했는데 너무 재밌어 가지고 시즌 원부터 포까지 다운 받아 놨잖아.
0	이번에는 투표를 똑바로 해야지. 그래, 안 그래?
4	그건 다 좋아서 그런거잖아요.
6	어제 팔 때리고, 발로 차고 그랬어.
4	응. 이상철.
3	침해? 니가 학교에서 분위기 흐리면? 다른 애들 권리 침해하는거 아니야?
6	개꿈 아닌데. 공룡 꿈인데..!
2	엄마랑 결혼? 갑자기 그건 왜?
7	잘했다. 마음은 좀 풀렸어?
7	 나 돈 좀…
6	또 깜빡 하신거에요?
6	"안돼. 첫째로 니가 다칠까봐 안되고, 	 둘째로 내 킥순이가 다칠까봐 안돼."
4	그게 무슨 소리야?
4	핸드폰이 꺼져있으면 엄마도 걱정하시겠네요..
2	아니… 나 친구들이랑 다음 달에 여행 가기로 해서.
6	 선생님 공부하기 싫어요.
6	…대학원 다녀요.
7	아, 네.        음 그럼 첫 질문은, 좀 가볍게 시작할까요?
5	뭐?
5	 음음 그죠.
0	 어쩐지 요즘 자꾸 거울을 보더라니. 너 저번에 인터넷으로 옷 잔뜩 주문한 것도 걔 때문이지? 으이그. 한참 공부할 땐데.
4	내가?  별로 인기 없어.
4	그게… 우리 세대 남자들이 그렇게 하는 법을 어디 아나? 누가 가르쳐줬어야지.
6	그런 사람, 진짜 있구나.
0	선산에 있는 동물들은 다 조상님 덕 보는 영물들이니까! 다신 그런 짓 하지 말아라.
4	그러게요 정말 부끄럽네요..  아 이번에 회사에서 불우 이웃 성금을 모으던데 거기에 돈을 좀 보태야 겠어요
3	 예예. 알~겠습니다. 다음부터 조~심하겠습니다아.
2	손님, 무슨 말씀을 하시는지 잘 모르겠는데요.
5	헐… 저는 전직 모델이라고만 알고 있었죠.
6	미안 미안. 열자마자 냄새가 역해서.
6	"그니까 너한테 부탁을 한 거 아니야. 흔적이 쉽게 남았으면 이미 나도 찾았지.	 우리 오래 볼 사이 아니었어?"
6	같이 늙어가는 처지? 당신은 애들 보기 부끄럽지도 않아?
4	아니.. 아이 원하지 않는다고 이야기 했었어.
5	 효진아 너 담배 폈니?
0	진수 그 노므자식 안 되겠구만.
3	언니 진짜 고인물같아..
6	그럼 혹시 오늘 호박죽 얘기하려고?
2	그래도 삼천은 너무했다..
6	엄마 나 유학가고 싶어.
3	그러게. 자기 집 깔고 앉아 있으면 앉은 자리에서 2억이 들어오는데 말이야.
0	성분은 똑같아. 농도가 다른거지.
6	그러니까. 그래서 난 다이어트해도 말 안해. 몰래 몰래 해야지.
6	정들어서 그렇지. 정 들어서. 그놈의 정 때문에.
5	지금? 너도?
0	머리 이상하다고 외출도 안하시면서! 마트 다녀오시게요?
5	아 커피 안 드시는구나. 차 드릴게요. 어떤 거 좋아하세요?
6	" 너 그래서 사회생활 어떻게 하냐? 	진짜 신기하다 신기해."
6	에이, 뭐야. 그렇게 곤란한 말도 아니네!
4	뭐, 시험에 붙어야 되니까. 그건 모르는 일이지. 근데 얼른 시험 붙고 결혼 하고싶다. 이 사람 아니면 안될 것 같아.
4	결혼해서 와이프한테 어떻게 해야할지 모르겠더라고.
7	 그래? 깍두기 담아놨는데.
5	이거보다 맛있을까?
6	글쎄 얘가 요즘 표정이 영 안 좋긴 했는데. 특별히 뭐 문제있다는 얘기는 못 들었는데...
1	 왜.
4	심각한 건 아닌데… 놀라지 말고.. 다 괜찮아질거니까..
1	고양이 양말?
1	그치. 요즘 60대는 40대나 체력적으로 큰 차이가 없다더라. 근데 어쩌다가 김순례님 방송을 보게 된 거야?
6	근데 걔가 저를 좋아해요.
0	고민을 해볼까 말까 물었는데, 무슨 소리를 하고 있어? 대답해봐. 내가 너네 물건 쓸지 말지, 고민을 해볼까?
6	근데, 그렇다고 해도, 이건 심각한 문제야.         사람을 죽인다는 건…. 보통 일이 아니야 현재야.
3	여기는 찻 집이 이렇게 다 방으로 되어 있잖아.
4	내년에. 사야지. 돈 모아야지.
0	아 형준이 좀 조용히 하라고 해! 맨날 노래 틀고 지랄하고 있어.
0	보챈다니요… 제가 원장님께 적선 받습니까? 정당하게 일해서 받는 임금인데, 어떻게 그렇게 말씀하십니까?
3	김 부장 덕분에 엔터 쪽도 잘 굴러가잖아.
5	뭔데요?
0	선생님은 뭘 몰라요. 전학가면 왕따 되는 거라고요. 왕따.
3	어우 더러워. 맨날 하는 얘기마다 왜그래?
5	시강 했는데 잘하던데? 어학원 경력이 있어서 그런가?
3	하, 천지님…? 엄마…. 제발 정신차려… 미친 사이비 종교에 빠져서 왜 이러는거야!
4	"당연히 속상하지요. 	 거기가, 바깥 양반이랑, 그릇장까지 하나하나 다~ 만들어서 꾸며놓은 곳인데."
0	삼촌 정말 너무해. 나한테는 신경도 안 써주고.
2	네 알겠습니다. 미리 말씀 못 드려서 죄송합니다. 다음에는 꼭 먼저 말씀 드릴게요.
1	90년생이 벌써 엄마가 될 나이야? 어머 세상에… 하긴! 90년생이 서른이니까.
7	벌써 배가 부르네요!
6	아니. 그거는 생리대라는 건데. 여자들이 어른이 되면 생리라는 걸 하게 되거든. 그 때 쓰는 거야.
4	 아 아니에요 아무것도..
1	당연하지. 어릴 때 커피 많이 마셔놔야 어른되서 미국 사람처럼 크는거야.
7	내가 엄마한테 꼭 말할게.
6	맞아 그런 놈들도 사람 봐가면서 성질 부리는거지
0	여자는 안 좋아?
1	아니야. 그래도, 끈질기게 풀다보면, 답이 보이게 되어 있어.
0	아… 아들이니까 참지… 너 너무 심한 거 아니야? 남의 신체부위 가지고 그렇게 놀리는 거 아니랬지. 그리고 그렇게 평가하고 지적질하는 것도 아주 나쁜 거야.
2	삼촌…. 돈 좀 있어?
4	응… 왠지 미안한 기분이 들었어
6	같은 날 태어났는데 왜 언니라고 불러야 돼요?
7	"어 당연히 알지. 	 오빠 쫌 불쌍하다."
1	자네 이야기 들었어? 세철이 말이야. 이번에 국회의원 선거에 나간다고 하더라고.
4	그러니까요. 장례식장은 어디서 한대요? 저희도 가봐야 하는 거 아니에요?
1	너 저번에 빨래한 옷 입어도 몸이 간지럽다고 했지?
7	전복장만 조금 드셨네. 그건 좀 입맛에 맞으셨나보네.
2	응, 그래서? 그랬는데?
5	그럼 직장 그만 두고 뭐하려고?
7	"네 원래 거의 안 먹어요. 일 년에 한 번? 두 번? 	정도 먹는 것 같아요."
7	"아고오. 태민이 키 엄청 크려나보다. 눈 깜빡하면 커 있네. 	 학교 갔다가 엄마랑 쇼핑갈까? 신발이랑 옷 좀 사러 가자."
6	"아... 좋네요...	 근데 앞에 상가하고 엄청 가깝게 붙어있네요?"
1	그건 그런 거 같아.
5	있으니까 먹었지.
6	"그치만….  그럼 왜 추석 때는 여자들만 일하고, 남자들은 일 안해요?      	왜 엄마만 일하고, 아빠는 누워서 잠만 자요?"
2	지금 부장님이 집안 일이 좀 있으셔서. 회사 출근도 못하셨거든요.
7	그래. 나 한 번 말한건 꼭 지킨다. 알지?
3	참나.. 너는 케잌이 그렇게 좋아?
2	고양이… 내가 잘 키울 수 있을까? 한 번도 키운다는 걸 진지하게 고려해본 적이 없어서 모르겠어.
0	내가 아줌마 아버지 같다니. 내가 이래봬도 나이가 어려.
4	나도 키우고 싶다..
3	먹고 양치 했어 안했어?
0	그럼 시험 끝나고 가자고 그래. 일주일 지난다고 놀이공원 안 없어지니까.
3	아, 나 진짜 급해요 아가씨.
4	 나 다음 시간 체육이야. 체육복 갈아입으러 가야 돼.
6	나는 배불러. 아까 너랑 같이 점심 먹었잖아.
1	너, 작년 여름에 엄마가 어린이 수영 캠프 보냈었잖아.
6	이름이… 김현재? 현재야. 이렇게 불러도 되지?
